id,identifier,session_count,language,timezone,game_version,device_os,device_type,device_model,ad_id,tags,last_active,playtime,amount_spent,created_at,invalid_identifier,badge_count,lat,lon,rooted,ip,country,web_auth,web_p256
0d7f4342-4d09-4cfe-84a5-1ab4e2a6aeb7,,2,en,0,504,5.1,1,GI-I9500_TMMARS,,{},2018-04-12 19:17:40.090326,158,0.00,2018-04-12 19:14:05.497824,t,0,,,t,150.70.162.182,JP,,
0dcf466d-1486-4316-a001-66e29231d808,APA91bG2FTocdZHbsc58ywkzfK9u9Xufz_XnQZOVqBHAWk7mHIxwazgiESyI7E1uOy_24F1b9oXAz2dVG6rOQdZai203qhq72rxQ9g89c9cFd4ZNu8iirKweJVS-57jrYe8CNCZqsX_-,33,es,-18000,520,7.0,1,SM-G920I,f0a2c075-4fe8-4918-ad2a-a550c9895b3f,{},2018-09-17 18:15:36,23196,0.00,2018-05-04 16:27:52.881433,t,0,,,f,190.63.1.97,EC,,
04b9854b-09d1-4431-af85-b072e8d59cfa,fcae5def2299c8bc70335f2fb7189f2924e57f116aba14e2de8b07a4eab1ea57,4,en,-18000,0.1.8,10.3.3,0,"iPhone5,3",E8865D65-7DE8-4602-A24D-8944EDBC8BC9,{},2018-02-19 20:19:51.666854,364,0.00,2018-02-19 19:46:50.230416,f,0,,,f,190.234.105.2,PE,,
0d0e0179-1914-4c59-8ff3-0bf3577c23ad,88c03ad20798e9241cab439338a8c44e9e4b29ac390b23c3bec037e935d66560,17,es,-18000,0.4.1,11.4,0,"iPhone8,4",29693C63-5922-46A2-8DF1-4B3BF77B03CB,{},2018-06-19 23:51:14.666013,410,0.00,2018-02-23 00:35:45.815108,f,0,,,f,190.113.208.142,PE,,
08acbebe-84eb-4486-8fb0-711a8509335b,15ef7908b7699ae37b029d0de01c1f0dec65ed3c4ed461b88e1485e1c75f8c83,84,es,-18000,0.5.20,11.4,0,"iPhone7,2",8ACD6AA6-6877-40CA-BDD5-FC63BD2E9655,{},2018-07-30 23:14:50,10218,0.00,2018-02-19 21:52:33.27656,f,0,,,f,179.7.54.17,PE,,
071993f2-958a-46b2-8369-4318324e41a7,3df51408e1787f4d0e1740fe7b67a71db411c22d40ea1768db864980588b6229,5,en,-18000,0.1.8,10.3.3,0,"iPhone5,3",4E470E3A-70BB-4261-951C-BDED64953F49,{},2018-02-19 16:07:46.064237,414,0.00,2018-02-16 22:41:53.256312,t,0,,,f,190.234.105.2,PE,,
02f53692-5322-4fb2-9be1-4b051b07b5d7,5e30121495734a707740b3995bc7e25169156d1d769ff198bfda731ca9f33bec,7,es,-18000,0.5.23,11.3.1,0,"iPhone7,2",F3F3A1CF-9F88-439D-A865-2B567416285A,{},2018-11-07 19:38:05,527,0.00,2018-10-04 02:38:32.460682,f,0,,,f,190.239.87.205,PE,,
03d8614a-3927-4acd-81eb-3594dc13422d,,2,en,0,505,5.1,1,GI-I9500_TMMARS,,{},2018-04-14 00:50:49.941309,158,0.00,2018-04-14 00:47:14.045779,t,0,,,t,150.70.162.182,JP,,
0c91728c-6341-418d-82a3-1e327c19e10d,a3051fefc980527778b6f34506290ec2d84249b487502dd7e18d8d2031bd5024,404,es,-18000,0.5.23,11.2.2,0,"iPhone8,2",4582A932-C0B6-496D-86D1-5008BDC30665,{},2018-11-21 16:07:32,37814,0.00,2018-03-02 21:31:34.693068,f,0,,,f,161.132.113.218,PE,,
08d948d0-d8f9-408b-9019-25218fbd7950,APA91bFlnLfEv1lcE9vK2DCPnrjA5gbIzmUpAzW5g08Q7PDpiVNjxrjlq2OV_fZOQlNaSEeBDvqR4nl9ca7TwcBJXCNuhw0vkybP3x3RY91pueQmVSnb2j_UdduC6uHJKdUoBxJV4tBD,29,es,-18000,523,6.0,1,HUAWEI VNS-L23,aca2e74a-acff-4eb9-bfa6-3f49262a22fd,{},2018-11-18 21:46:22,1119,0.00,2018-02-23 22:24:56.276598,f,0,,,f,132.191.2.126,PE,,
