N�mero de caso,Tipo de caso,Subtipo de casos,Estado,Subestado,Detalles de lugar y otros,Fecha de notificaci�n,Unidad reportante,Dispositivo origen,Reportante,Zona,Acci�n tomada,Situaci�n,,,,,,,
701506,Ruidos o Molestias,Retiro de Consumidores de Alcohol en la v�a p�blica,,,,31-01-2018 23:59:12,Ciudadan�a Distrital (10),IVR,Desconocido  (993973347),,contribuye nte indica que en la cuadra dos de comnadante more se encunetran libando en la via publica, se le comunica al ro. bernuy quien al llegar dio las recomnedacioens y los retira del lugar, quedando tdos in novedad . op olortegui dni 40604964,Atendido,,,,,
701505,Interno,Operativo,,,,31-01-2018 23:58:24,Ciudadan�a Distrital (10),IVR,Desconocido  (993973347),,LLAMADA DE COORDINACION,Atendido / falsa alarma,,,,,,,
701504,Interno,Operativo,,,,31-01-2018 23:57:54,Ciudadan�a Distrital (10),IVR,Desconocido  (948321408),,llamada descartada,Atendido,,,,,,,
701503,Ruidos o Molestias,Apoyo Diverso al Contribuyente,,,,31-01-2018 23:57:09,Ciudadan�a Distrital (10),IVR,Desconocido  (948321408),,LLAMADA DESCARTADA,Atendido / falsa alarma,,,,,,,
701502,Interno,Operativo,,,,31-01-2018 23:56:08,Ciudadan�a Distrital (10),IVR,Desconocido  (924445112),,llamada descartada,Atendido / falsa alarma,,,,,,,
701501,Interno,Operativo,,,,31-01-2018 23:55:19,Ciudadan�a Distrital (10),IVR,Desconocido  (15617400),,llamada descartada,Descartado,,,,,,,
701500,Interno,Operativo,,,Direcci�n del comercio: AVN ELMER FAUCETT Num 196 Urb MARANGA C�digo del tipo de alarma: 01 Nombre del comercio: KFC 59 CONTISUYO DELIVERY C�digo del tipo de comercio: 9002 Tel�fono del contacto: 5055000 Nombre del contacto: KFC 59 CONTISUYO DELIVERYLIMA         PE ID de la terminal: 26303056 C�digo de ubicaci�n del comercio: 150136 (San Miguel) C�digo del comercio: 100123382,31-01-2018 23:48:03,Ciudadan�a Distrital (10),POS,KFC DELIVERY LA MARINA  (5055000),,SE LE DEVUELVE LA LLAMADA Y TODO SIN NOVEDAD,Atendido / falsa alarma,,,,,,,
701499,Ruidos o Molestias,Apoyo Diverso al Contribuyente,,,,31-01-2018 23:44:11,Ciudadan�a Distrital (10),IVR,Desconocido  (998542313),,llamada de coordiancion,Atendido,,,,,,,
701498,Interno,Operativo,,,,31-01-2018 23:41:34,Ciudadan�a Distrital (10),IVR,Desconocido  (992643363),,llamada descratda,Atendido / falsa alarma,,,,,,,
701497,Interno,Operativo,,,,31-01-2018 23:40:49,Ciudadan�a Distrital (10),IVR,Desconocido  (976926963),,LLAMADA DESCARTADA,Descartado,,,,,,,
